DATE,PCEDGC96
2010-01-01,870.5
2010-02-01,872.7
2010-03-01,914.7
2010-04-01,913.0
2010-05-01,911.7
2010-06-01,917.0
2010-07-01,924.0
2010-08-01,928.8
2010-09-01,931.9
2010-10-01,953.7
2010-11-01,952.6
2010-12-01,956.4
2011-01-01,960.1
2011-02-01,957.9
2011-03-01,969.8
2011-04-01,963.8
2011-05-01,954.4
2011-06-01,949.1
2011-07-01,957.6
2011-08-01,958.3
2011-09-01,976.8
2011-10-01,988.2
2011-11-01,983.4
2011-12-01,990.5
2012-01-01,1003.1
2012-02-01,1018.1
2012-03-01,1013.4
2012-04-01,1015.4
2012-05-01,1012.5
2012-06-01,1012.4
2012-07-01,1018.2
2012-08-01,1023.5
2012-09-01,1038.0
2012-10-01,1029.2
2012-11-01,1054.8
2012-12-01,1065.5
2013-01-01,1077.4
2013-02-01,1079.3
2013-03-01,1072.0
2013-04-01,1077.3
2013-05-01,1083.3
2013-06-01,1083.9
2013-07-01,1090.1
2013-08-01,1091.3
2013-09-01,1092.6
2013-10-01,1097.1
2013-11-01,1108.5
2013-12-01,1102.0
2014-01-01,1089.6
2014-02-01,1122.2
2014-03-01,1151.1
2014-04-01,1150.6
2014-05-01,1163.1
2014-06-01,1174.8
2014-07-01,1174.3
2014-08-01,1185.5
2014-09-01,1189.1
2014-10-01,1194.0
2014-11-01,1208.5
2014-12-01,1215.1
2015-01-01,1219.9
2015-02-01,1220.6
2015-03-01,1246.2
2015-04-01,1250.7
2015-05-01,1255.0
2015-06-01,1255.4
2015-07-01,1265.5
2015-08-01,1275.8
2015-09-01,1268.9
2015-10-01,1265.0
2015-11-01,1283.1
2015-12-01,1286.7
2016-01-01,1284.2
2016-02-01,1308.4
2016-03-01,1293.2
2016-04-01,1294.3
2016-05-01,1299.5
2016-06-01,1325.0
2016-07-01,1336.5
2016-08-01,1337.6
2016-09-01,1345.1
2016-10-01,1353.5
2016-11-01,1345.5
2016-12-01,1383.3
2017-01-01,1369.7
2017-02-01,1375.4
2017-03-01,1370.0
2017-04-01,1382.5
2017-05-01,1383.3
2017-06-01,1401.7
2017-07-01,1415.7
2017-08-01,1410.1
2017-09-01,1449.0
2017-10-01,1454.5
2017-11-01,1478.8
2017-12-01,1500.1
2018-01-01,1488.2
2018-02-01,1505.1
2018-03-01,1497.5
2018-04-01,1492.0
2018-05-01,1515.4
2018-06-01,1509.3
2018-07-01,1513.6
2018-08-01,1522.1
2018-09-01,1513.6
2018-10-01,1511.4
2018-11-01,1546.2
2018-12-01,1499.2
2019-01-01,1491.1
2019-02-01,1497.7
2019-03-01,1532.1
2019-04-01,1524.9
2019-05-01,1556.2
2019-06-01,1554.4
2019-07-01,1571.6
2019-08-01,1578.4
2019-09-01,1591.6
2019-10-01,1575.3
2019-11-01,1611.3
2019-12-01,1622.0
2020-01-01,1600.1
2020-02-01,1602.1
2020-03-01,1392.8
2020-04-01,1229.2
2020-05-01,1603.6
2020-06-01,1760.0
2020-07-01,1812.3
2020-08-01,1814.7
2020-09-01,1839.3
2020-10-01,1840.2
2020-11-01,1832.8
2020-12-01,1869.6
2021-01-01,1923.1
2021-02-01,1861.1
2021-03-01,2115.9
2021-04-01,2108.2
2021-05-01,2011.7
2021-06-01,1981.1
2021-07-01,1905.5
2021-08-01,1898.2
2021-09-01,1909.1
2021-10-01,1963.1
2021-11-01,1965.4
2021-12-01,1936.3
2022-01-01,1974.9
2022-02-01,1951.1
2022-03-01,1961.0
2022-04-01,1984.8
2022-05-01,1946.9
2022-06-01,1941.6
2022-07-01,1957.0
2022-08-01,1963.8
2022-09-01,1966.2
2022-10-01,1988.5
2022-11-01,1943.6
2022-12-01,1940.4
2023-01-01,2037.0
2023-02-01,2031.1
2023-03-01,1999.5
2023-04-01,2012.6
2023-05-01,2025.4
2023-06-01,2024.6
2023-07-01,2051.0
2023-08-01,2044.9
2023-09-01,2065.8
2023-10-01,2054.9
2023-11-01,2073.2
